"","CLLT_FP_PRNO","INCB_DVSN","ETRS_YM","FIRE_YM","BEFO_JOB","EDGB","BRCH_CODE","ETRS_YM_YEAR","FIRE_YM_YEAR"
"37",7623,"R","200404","200707","기타","#",117,2004,2007
"38",1595,"R","200005","200711","기타","고졸",111,2000,2007
"39",7325,"R","200402","200407","기타","고졸",16,2004,2004
"40",6170,"R","200306","200407","기타","고졸",105,2003,2004
"41",29632,"R","199910","200409","무직","고졸",62,1999,2004
"42",27013,"P","199708","999912","기타","고졸",136,1997,9999
"43",8058,"R","200407","200710","기타","고졸",45,2004,2007
"44",2879,"R","200102","200412","보험관계인","고졸",86,2001,2004
"45",27284,"P","199708","999912","기타","고졸",318,1997,9999
"46",8143,"R","200407","200505","기타","고졸",146,2004,2005
"47",21866,"P","199011","999912","기타","#",55,1990,9999
"48",25938,"R","199703","200612","기타","#",117,1997,2006
"49",3306,"R","200104","200903","보험관계인","고졸",147,2001,2009
"50",3834,"R","200111","200504","보험관계인","#",219,2001,2005
"51",8351,"R","200408","200511","기타","#",106,2004,2005
"52",8137,"R","200407","200508","기타","#",134,2004,2005
"53",8367,"R","200408","200603","보험관계인","고졸",68,2004,2006
"54",29474,"P","199811","999912","자유업","고졸",14,1998,9999
"55",29378,"R","199812","200910","기타","고졸",156,1998,2009
"56",23200,"R","199309","200803","기타","고졸",158,1993,2008
"57",8885,"R","200501","200611","기타","전문대졸",107,2005,2006
"58",8434,"R","200409","200606","기타","대학졸",37,2004,2006
"59",8340,"R","200408","200606","보험관계인","고졸",98,2004,2006
"60",21412,"R","198908","200704","기타","고졸",128,1989,2007
"61",8861,"R","200501","200508","자유업","대학졸",80,2005,2005
"62",8850,"R","200412","200607","무직","대학졸",98,2004,2006
"63",7867,"P","200405","999912","보험관계인","#",269,2004,9999
"64",1733,"R","200007","201107","기타","#",141,2000,2011
"65",27373,"R","199710","200602","기타","고졸",140,1997,2006
"66",29010,"R","199807","201109","무직","고졸",116,1998,2011
"67",8057,"R","200407","200611","기타","#",154,2004,2006
"68",9098,"R","200503","200612","기타","고졸",116,2005,2006
"69",4764,"P","200208","999912","기타","#",58,2002,9999
"70",7702,"R","200404","200703","보험관계인","고졸",95,2004,2007
"71",25624,"P","199608","999912","기타","#",167,1996,9999
"72",2356,"P","200106","999912","기타","대학졸",25,2001,9999
"73",9512,"P","200506","999912","보험관계인","고졸",170,2005,9999
"74",8863,"R","200501","200606","기타","#",16,2005,2006
"75",7713,"R","200404","201105","자유업","고졸",281,2004,2011
"76",9487,"R","200506","200809","보험관계인","#",118,2005,2008
"77",22821,"R","199312","200709","기타","고졸",69,1993,2007
"78",9303,"R","200504","200802","보험관계인","전문대졸",89,2005,2008
"79",4378,"R","200205","200607","기타","고졸",61,2002,2006
"80",9483,"R","200506","200808","기타","#",84,2005,2008
"81",8779,"R","200412","200607","무직","고졸",147,2004,2006
"82",10054,"R","200511","200702","일반기업","고졸",109,2005,2007
"83",23762,"P","199405","999912","기타","고졸",116,1994,9999
"84",6371,"P","200308","999912","자유업","고졸",158,2003,9999
"85",9481,"R","200506","201407","기타","#",59,2005,2014
"86",22097,"P","199111","999912","기타","#",103,1991,9999
"87",10012,"R","200511","200605","기타","전문대졸",119,2005,2006
"88",20500,"R","198502","200803","기타","고졸",103,1985,2008
"89",1599,"P","200004","999912","무직","전문대졸",111,2000,9999
"90",8639,"R","200410","200806","기타","고졸",158,2004,2008
"91",21249,"R","198808","200902","기타","#",146,1988,2009
"92",10057,"R","200511","200805","회사원","전문대졸",57,2005,2008
"93",10277,"R","200601","200710","기타","고졸",16,2006,2007
"94",10394,"R","200602","201305","기타","고졸",25,2006,2013
"95",22563,"R","199206","200908","기타","고졸",145,1992,2009
"96",4450,"R","200204","200607","기타","고졸",74,2002,2006
"97",10655,"R","200603","200610","기타","대학졸",78,2006,2006
"98",5463,"R","200208","200708","보험관계인","고졸",73,2002,2007
"99",9475,"R","200506","201509","기타","#",318,2005,2015
"100",5940,"R","200304","201104","기타","고졸",279,2003,2011
"101",24533,"R","199508","200805","기타","고졸",111,1995,2008
"102",10620,"R","200603","200702","일반기업","#",38,2006,2007
"103",21575,"P","199007","999912","사기업체","고졸",55,1990,9999
"104",24787,"R","199508","200705","기타","고졸",163,1995,2007
"105",3442,"R","200104","201405","보험관계인","대학졸",163,2001,2014
"106",11037,"R","200606","200710","기타","고졸",83,2006,2007
"107",4872,"R","200210","200705","기타","전문대졸",205,2002,2007
"108",7994,"R","200406","200803","기타","고졸",37,2004,2008
"109",11072,"R","200607","200806","무직","전문대졸",237,2006,2008
"110",23405,"R","199407","200802","기타","대학원졸",49,1994,2008
"111",10809,"R","200605","200712","기타","전문대졸",16,2006,2007
"112",10046,"R","200511","200704","무직","#",118,2005,2007
"113",10564,"P","200603","999912","회사원","#",37,2006,9999
"114",11315,"R","200609","201201","기타","고졸",50,2006,2012
"115",8793,"P","200412","999912","자유업","#",154,2004,9999
"116",11247,"R","200608","201410","기타","고졸",158,2006,2014
"117",24305,"P","199509","999912","기타","#",45,1995,9999
"118",3533,"R","200104","201508","회사원","전문대졸",143,2001,2015
"119",10964,"R","200606","200710","보험관계인","#",51,2006,2007
"120",11500,"R","200610","200708","보험관계인","#",63,2006,2007
"121",5620,"R","200304","200804","자유업","고졸",103,2003,2008
"122",11540,"R","200611","201107","기타","전문대졸",49,2006,2011
"123",10927,"R","200606","201007","보험관계인","#",51,2006,2010
"124",4981,"R","200209","200807","무직","고졸",156,2002,2008
"125",11211,"R","200608","200708","보험관계인","#",114,2006,2007
"126",11695,"R","200612","200808","기타","고졸",80,2006,2008
"127",7704,"R","200404","201104","보험관계인","고졸",268,2004,2011
"128",10869,"R","200605","200712","일반기업","고졸",125,2006,2007
"129",11675,"R","200612","200801","기타","고졸",82,2006,2008
"130",10624,"R","200603","201511","기타","#",120,2006,2015
"131",11349,"R","200609","200710","기타","#",184,2006,2007
"132",20602,"R","197904","200707","기타","#",11,1979,2007
"133",29721,"R","199912","200905","기타","고졸",11,1999,2009
"134",11919,"R","200702","200710","교육부문","#",42,2007,2007
"135",11913,"R","200702","200710","기타","#",118,2007,2007
"136",12190,"R","200705","200806","기타","#",75,2007,2008
"137",11840,"R","200701","200901","기타","고졸",118,2007,2009
"138",12271,"R","200705","200805","회사원","#",112,2007,2008
"139",11823,"R","200701","200808","기타","#",58,2007,2008
"140",9922,"P","200510","999912","자유업","고졸",58,2005,9999
"141",10220,"R","200512","201603","기타","#",118,2005,2016
"142",11954,"R","200702","200712","보험관계인","#",51,2007,2007
"143",12415,"P","200707","999912","기타","고졸",158,2007,9999
"144",7730,"R","200405","200812","기타","대학졸",124,2004,2008
"145",12710,"R","200710","200901","기타","전문대졸",150,2007,2009
"146",12758,"R","200710","201102","기타","#",121,2007,2011
"147",2433,"P","200101","999912","기타","#",19,2001,9999
"148",5211,"R","200202","201108","회사원","대학졸",274,2002,2011
"149",11291,"R","200608","200907","기타","고졸",75,2006,2009
"150",27722,"P","199803","999912","기타","고졸",16,1998,9999
"151",12443,"P","200707","999912","기타","#",305,2007,9999
"152",22975,"P","199308","999912","기타","#",82,1993,9999
"153",12921,"R","200711","200906","기타","#",113,2007,2009
"154",28031,"P","199806","999912","기타","#",14,1998,9999
"155",13035,"R","200712","200901","기타","#",158,2007,2009
"156",13115,"R","200801","200805","일반기업","#",17,2008,2008
"157",13230,"R","200802","201303","기타","고졸",143,2008,2013
"158",13189,"R","200802","200812","회사원","#",176,2008,2008
"159",5965,"R","200302","200912","기타","고졸",106,2003,2009
"160",21301,"P","198906","999912","기타","#",11,1989,9999
"161",11795,"P","200701","999912","기타","고졸",45,2007,9999
"162",13528,"R","200804","201002","보험관계인","#",293,2008,2010
"163",13423,"R","200804","201503","기타","#",88,2008,2015
"164",12643,"R","200709","200812","기타","#",84,2007,2008
"165",13175,"R","200802","200812","기타","#",256,2008,2008
"166",22734,"P","199307","999912","기타","#",56,1993,9999
"167",13161,"R","200802","201501","회사원","대학졸",57,2008,2015
"168",14019,"R","200808","201301","보험관계인","고졸",187,2008,2013
"169",21577,"R","199005","201601","사기업체","#",19,1990,2016
"170",8790,"P","200412","999912","기타","전문대졸",13,2004,9999
"171",14269,"R","200810","200906","보험관계인","대학졸",112,2008,2009
"172",14134,"R","200809","201101","기타","고졸",90,2008,2011
"173",14295,"R","200810","201106","기타","#",21,2008,2011
"174",14593,"R","200901","201102","기타","#",112,2009,2011
"175",25027,"P","199608","999912","기타","고졸",42,1996,9999
"176",26127,"P","199708","999912","기타","고졸",16,1997,9999
"177",14400,"R","200811","201309","교육부문","대학졸",110,2008,2013
"178",13653,"R","200806","201503","기타","고졸",163,2008,2015
"179",14220,"R","200810","201112","기타","고졸",19,2008,2011
"180",14748,"R","200903","201009","기타","고졸",25,2009,2010
"181",15176,"R","200906","201104","보험관계인","고졸",281,2009,2011
"182",14585,"R","200901","201104","보험관계인","고졸",293,2009,2011
"183",15291,"R","200908","201104","회사원","대학졸",60,2009,2011
"184",14752,"R","200903","201012","기타","#",158,2009,2010
"185",14499,"R","200812","201508","기타","고졸",116,2008,2015
"186",14943,"R","200904","201202","기타","고졸",136,2009,2012
"187",14335,"R","200811","201001","기타","대학졸",16,2008,2010
"188",14773,"R","200903","201012","영업직(판","고졸",100,2009,2010
"189",14575,"R","200901","201212","기타","고졸",38,2009,2012
"190",30341,"R","199907","201109","기타","고졸",32,1999,2011
"191",11938,"R","200702","201104","보험관계인","고졸",276,2007,2011
"192",15865,"R","201001","201112","기타","#",60,2010,2011
"193",25358,"P","199606","999912","기타","고졸",84,1996,9999
"194",15605,"R","200910","201006","보험관계인","#",204,2009,2010
"195",15517,"P","200910","999912","보험관계인","전문대졸",291,2009,9999
"196",15964,"R","201002","201202","기타","대학원졸",78,2010,2012
"197",16375,"P","201005","999912","기타","대학졸",303,2010,9999
"198",25351,"R","199606","201503","기타","#",88,1996,2015
"199",3472,"P","200110","999912","기타","고졸",158,2001,9999
"200",15551,"R","200910","201110","기타","대학졸",141,2009,2011
"201",15632,"R","200910","201410","기타","#",120,2009,2014
"202",16043,"P","201002","999912","보험관계인","고졸",269,2010,9999
"203",15523,"R","200910","201107","기타","고졸",57,2009,2011
"204",14358,"P","200811","999912","자영업","고졸",158,2008,9999
"205",16723,"R","201008","201108","기타","고졸",100,2010,2011
"206",4965,"P","200203","999912","무직","#",154,2002,9999
"207",26228,"P","199711","999912","기타","고졸",13,1997,9999
"208",13662,"R","200806","201408","무직","#",57,2008,2014
"209",11983,"P","200703","999912","일반기업","고졸",37,2007,9999
"210",15584,"P","200910","999912","기타","고졸",45,2009,9999
"211",16185,"R","201003","201110","기타","전문대졸",150,2010,2011
"212",16113,"R","201003","201302","기타","전문대졸",57,2010,2013
"213",17024,"R","201012","201206","기타","#",47,2010,2012
"214",14744,"R","200903","201202","영업직(판","대학졸",156,2009,2012
"215",14136,"R","200809","201104","보험관계인","고졸",273,2008,2011
"216",14954,"P","200904","999912","기타","#",25,2009,9999
"217",16362,"R","201005","201502","기타","고졸",305,2010,2015
"218",17444,"P","201104","999912","보험관계인","고졸",289,2011,9999
"219",16039,"P","201002","999912","보험관계인","#",269,2010,9999
"220",17393,"R","201104","201305","기타","#",78,2011,2013
"221",23151,"P","199312","999912","기타","#",163,1993,9999
"222",16915,"R","201010","201407","기타","고졸",38,2010,2014
"223",16695,"R","201008","201303","보험관계인","#",265,2010,2013
"224",17659,"R","201106","201305","영업직(판","고졸",84,2011,2013
"225",17669,"P","201106","999912","보험관계인","고졸",279,2011,9999
"226",15683,"P","200911","999912","기타","고졸",59,2009,9999
"227",17094,"R","201012","201208","보험관계인","전문대졸",171,2010,2012
"228",16543,"P","201007","999912","기타","고졸",106,2010,9999
"229",16204,"R","201003","201501","기타","전문대졸",86,2010,2015
"230",18209,"R","201201","201402","기타","#",136,2012,2014
"231",18122,"R","201112","201302","기타","대학졸",319,2011,2013
"232",9595,"P","200507","999912","기타","고졸",146,2005,9999
"233",17661,"R","201106","201205","기타","고졸",44,2011,2012
"234",17991,"P","201110","999912","의료부문","#",167,2011,9999
"235",14465,"P","200812","999912","기타","고졸",111,2008,9999
"236",15957,"P","201002","999912","기타","#",116,2010,9999
"237",16035,"P","201002","999912","보험관계인","고졸",287,2010,9999
"238",17031,"P","201012","999912","기타","#",125,2010,9999
"239",18494,"R","201205","201311","기타","#",259,2012,2013
"240",18451,"R","201205","201402","기타","#",29,2012,2014
"241",18779,"P","201209","999912","기타","#",78,2012,9999
"242",18245,"R","201202","201309","기타","#",146,2012,2013
"243",18942,"R","201211","201312","기타","고졸",141,2012,2013
"244",18194,"R","201201","201302","기타","#",90,2012,2013
"245",13191,"P","200802","999912","기타","#",121,2008,9999
"246",19129,"R","201302","201310","기타","#",106,2013,2013
"247",16750,"P","201009","999912","기타","#",88,2010,9999
"248",18975,"P","201212","999912","기타","#",49,2012,9999
"249",17907,"P","201109","999912","기타","고졸",45,2011,9999
"250",19155,"R","201302","201403","기타","#",19,2013,2014
"251",18767,"R","201209","201510","기타","고졸",13,2012,2015
"252",18958,"R","201212","201403","기타","#",19,2012,2014
"253",18529,"R","201206","201311","기타","대학졸",160,2012,2013
"254",10431,"P","200602","999912","보험관계인","#",273,2006,9999
"255",3054,"R","200104","201412","보험관계인","#",103,2001,2014
"256",19245,"R","201304","201501","기타","대학졸",319,2013,2015
"257",19448,"R","201308","201403","기타","#",124,2013,2014
"258",15794,"P","200912","999912","기타","대학졸",55,2009,9999
"259",19557,"R","201310","201407","기타","#",21,2013,2014
"260",17361,"P","201103","999912","보험관계인","#",316,2011,9999
"261",17788,"P","201107","999912","보험관계인","#",287,2011,9999
"262",14848,"R","200904","201603","기타","대학졸",116,2009,2016
"263",19148,"P","201302","999912","기타","중졸",146,2013,9999
"264",6613,"R","200309","201502","기타","고졸",47,2003,2015
"265",19670,"R","201401","201502","기타","#",42,2014,2015
"266",19928,"R","201408","201511","보험관계인","고졸",273,2014,2015
"267",19947,"P","201409","999912","기타","대학졸",302,2014,9999
"268",11374,"P","200609","999912","기타","고졸",19,2006,9999
"269",29944,"P","199903","999912","기타","고졸",58,1999,9999
"270",20015,"P","201412","999912","영업직(판","#",154,2014,9999
"271",23394,"P","199410","999912","기타","고졸",13,1994,9999
"272",20193,"P","201506","999912","기타","#",154,2015,9999
"273",20241,"P","201509","999912","기타","#",303,2015,9999
"274",18630,"P","201207","999912","기타","#",29,2012,9999
"275",19589,"P","201311","999912","기타","#",32,2013,9999
"276",19180,"P","201303","999912","기타","#",42,2013,9999
"277",22295,"R","199210","200810","기타","#",21,1992,2008
"278",1077,"R","200009","200704","기타","대학졸",107,2000,2007
"279",5647,"R","200304","200411","보험관계인","#",197,2003,2004
"280",6230,"R","200307","200808","자유업","고졸",167,2003,2008
"281",23533,"R","199401","200710","사기업체","#",37,1994,2007
"282",3942,"R","200111","201308","보험관계인","중졸",307,2001,2013
"283",26955,"R","199705","200503","기타","고졸",145,1997,2005
"284",6114,"R","200302","200404","보험관계인","대학졸",199,2003,2004
"285",5589,"R","200204","200409","자유업","고졸",191,2002,2004
"286",4825,"R","200210","201008","무직","고졸",141,2002,2010
"287",5603,"R","200209","200501","회사원","고졸",171,2002,2005
"288",24378,"P","199509","999912","기타","#",86,1995,9999
"289",24888,"R","199601","201001","기타","고졸",55,1996,2010
"290",2527,"R","200107","201401","기타","#",322,2001,2014
"291",7033,"R","200312","200406","무직","고졸",37,2003,2004
"292",6773,"R","200310","200503","기타","#",21,2003,2005
"293",6495,"R","200308","200411","기타","고졸",45,2003,2004
"294",24870,"R","199603","200804","기타","고졸",17,1996,2008
"295",31506,"P","199903","999912","회사원","#",170,1999,9999
"296",28927,"R","199805","201501","기타","고졸",111,1998,2015
"297",6303,"R","200307","200902","기타","고졸",45,2003,2009
"298",7120,"R","200312","200406","기타","#",12,2003,2004
"299",29802,"P","199902","999912","보험관계인","#",16,1999,9999
"300",6799,"R","200310","200412","기타","#",61,2003,2004
"301",5072,"R","200201","200408","보험관계인","고졸",220,2002,2004
"302",31396,"R","199907","200510","무직","전문대졸",143,1999,2005
"303",23757,"R","199408","200410","기타","고졸",134,1994,2004
"304",6380,"R","200308","200412","무직","고졸",88,2003,2004
"305",1261,"R","200010","200503","기타","고졸",82,2000,2005
"306",3630,"R","200105","200409","기타","#",204,2001,2004
"307",7895,"R","200406","200410","기타","#",24,2004,2004
"308",2631,"R","200103","200609","기타","고졸",107,2001,2006
"309",25554,"P","199610","999912","기타","#",116,1996,9999
"310",8080,"R","200407","200509","기타","#",13,2004,2005
"311",5341,"R","200202","200608","보험관계인","고졸",85,2002,2006
"312",7196,"R","200401","200601","기타","대학졸",171,2004,2006
"313",7982,"P","200406","999912","기타","고졸",32,2004,9999
"314",7005,"P","200312","999912","자유업","#",17,2003,9999
"315",24401,"P","199503","999912","기타","고졸",88,1995,9999
"316",7009,"R","200312","200602","기타","#",74,2003,2006
"317",7957,"R","200406","200507","무직","#",141,2004,2005
"318",28346,"R","199803","200706","기타","고졸",37,1998,2007
"319",8125,"R","200407","200911","기타","고졸",125,2004,2009
"320",8018,"R","200406","200412","기타","#",74,2004,2004
"321",8392,"R","200409","200712","기타","고졸",120,2004,2007
"322",4924,"R","200209","200509","기타","고졸",158,2002,2005
"323",8064,"R","200407","200707","기타","#",11,2004,2007
"324",6716,"R","200310","200711","기타","고졸",75,2003,2007
"325",6027,"P","200302","999912","기타","대학졸",160,2003,9999
"326",7272,"P","200401","999912","기타","#",55,2004,9999
"327",24383,"P","199507","999912","기타","#",86,1995,9999
"328",4736,"R","200207","200704","기타","고졸",111,2002,2007
"329",8935,"R","200501","200512","보험관계인","전문대졸",66,2005,2005
"330",7614,"P","200404","999912","회사원","고졸",11,2004,9999
"331",26731,"R","199707","200907","무직","고졸",121,1997,2009
"332",8768,"R","200411","200512","보험관계인","#",83,2004,2005
"333",28297,"P","199806","999912","무직","고졸",32,1998,9999
"334",9388,"R","200505","200809","기타","#",74,2005,2008
"335",8551,"R","200409","200808","보험관계인","고졸",25,2004,2008
"336",8988,"R","200502","200511","보험관계인","#",24,2005,2005
"337",3809,"R","200111","200812","보험관계인","고졸",235,2001,2008
"338",9601,"R","200507","200901","금융부문","대학졸",150,2005,2009
"339",6982,"R","200312","200811","기타","고졸",145,2003,2008
"340",5424,"R","200207","201104","보험관계인","대학졸",276,2002,2011
"341",9178,"R","200503","200601","보험관계인","고졸",89,2005,2006
"342",9622,"R","200507","200811","기타","#",121,2005,2008
"343",9678,"P","200508","999912","무직","#",11,2005,9999
"344",9076,"R","200503","200703","기타","대학졸",96,2005,2007
"345",8069,"R","200407","200801","무직","#",146,2004,2008
"346",24681,"P","199511","999912","기타","고졸",160,1995,9999
"347",9417,"R","200505","200606","보험관계인","대학졸",98,2005,2006
"348",5613,"R","200205","200706","보험관계인","대학졸",119,2002,2007
"349",8746,"R","200411","200601","기타","고졸",77,2004,2006
"350",26822,"R","199705","200704","기타","고졸",128,1997,2007
"351",5402,"R","200206","200804","기타","중졸",235,2002,2008
"352",7377,"R","200402","201412","기타","#",116,2004,2014
"353",9428,"R","200505","200703","보험관계인","고졸",95,2005,2007
"354",20489,"P","198505","999912","기타","고졸",120,1985,9999
"355",9936,"R","200510","200702","무직","대학졸",141,2005,2007
"356",9361,"R","200505","200806","보험관계인","#",171,2005,2008
"357",20703,"P","198107","999912","기타","#",136,1981,9999
"358",7772,"R","200405","200904","기타","고졸",156,2004,2009
"359",8284,"R","200408","200705","회사원","#",118,2004,2007
"360",3941,"R","200111","201401","보험관계인","고졸",307,2001,2014
"361",10172,"R","200512","200702","회사원","고졸",108,2005,2007
"362",6259,"R","200307","201407","기타","#",38,2003,2014
"363",10378,"R","200601","201003","보험관계인","#",251,2006,2010
"364",10350,"R","200601","200606","보험관계인","#",41,2006,2006
"365",7137,"R","200401","200808","기타","고졸",38,2004,2008
"366",10411,"R","200602","200610","보험관계인","고졸",89,2006,2006
"367",25865,"R","199612","201403","기타","고졸",59,1996,2014
"368",6864,"R","200311","200710","기타","#",21,2003,2007
"369",9173,"R","200503","200811","보험관계인","대학졸",231,2005,2008
"370",10106,"R","200512","200606","보험관계인","고졸",114,2005,2006
"371",2154,"R","200009","200802","무직","고졸",88,2000,2008
"372",24673,"R","199506","200710","기타","고졸",158,1995,2007
"373",25244,"P","199607","999912","기타","고졸",45,1996,9999
"374",5754,"R","200305","201305","무직","고졸",259,2003,2013
"375",10952,"R","200606","200810","보험관계인","고졸",51,2006,2008
"376",10860,"R","200605","200707","기타","고졸",23,2006,2007
"377",8762,"R","200411","200707","보험관계인","#",97,2004,2007
"378",10676,"R","200604","200703","기타","고졸",160,2006,2007
"379",28630,"P","199809","999912","기타","고졸",299,1998,9999
"380",7825,"R","200405","200709","기타","#",86,2004,2007
"381",11186,"R","200608","200702","보험관계인","#",114,2006,2007
"382",25781,"R","199607","201102","일반공무원","고졸",160,1996,2011
"383",11414,"P","200610","999912","기타","대학졸",50,2006,9999
"384",28842,"P","199809","999912","무직","#",103,1998,9999
"385",10185,"R","200512","200711","무직","고졸",118,2005,2007
"386",11485,"R","200610","200710","기타","고졸",37,2006,2007
"387",10668,"R","200604","201412","기타","고졸",160,2006,2014
"388",25284,"P","199601","999912","기타","고졸",44,1996,9999
"389",11812,"R","200701","201108","기타","고졸",49,2007,2011
"390",22338,"P","199205","999912","기타","고졸",78,1992,9999
"391",29412,"P","199812","999912","기타","고졸",84,1998,9999
"392",11621,"R","200611","201001","보험관계인","전문대졸",277,2006,2010
"393",11102,"R","200607","200711","기타","대학졸",181,2006,2007
"394",12001,"R","200703","200808","영업직(판","고졸",163,2007,2008
"395",12034,"R","200703","200711","기타","#",111,2007,2007
"396",11788,"R","200701","200806","기타","대학졸",143,2007,2008
"397",11880,"R","200702","200908","기타","고졸",88,2007,2009
"398",28105,"P","199812","999912","기타","고졸",45,1998,9999
"399",24411,"P","199508","999912","기타","고졸",299,1995,9999
"400",12480,"R","200707","200808","보험관계인","#",177,2007,2008
"401",1199,"R","200002","201306","무직","고졸",80,2000,2013
"402",11256,"R","200608","200712","기타","고졸",58,2006,2007
"403",12358,"R","200706","200901","기타","고졸",136,2007,2009
"404",11843,"R","200701","201001","보험관계인","고졸",277,2007,2010
"405",12672,"R","200709","200909","보험관계인","전문대졸",191,2007,2009
"406",11902,"R","200702","200907","일반기업","고졸",44,2007,2009
"407",12614,"R","200709","201002","기타","#",11,2007,2010
"408",13008,"R","200712","200809","기타","고졸",29,2007,2008
"409",29234,"R","199804","200810","무직","고졸",205,1998,2008
"410",13244,"R","200802","201409","금융부문","#",163,2008,2014
"411",12496,"R","200707","200904","기타","#",232,2007,2009
"412",13258,"R","200802","201009","기타","고졸",299,2008,2010
"413",13388,"R","200803","201010","보험관계인","#",289,2008,2010
"414",22877,"R","199303","201605","기타","고졸",47,1993,2016
"415",13516,"R","200804","201204","보험관계인","#",312,2008,2012
"416",9996,"P","200510","999912","기타","대학졸",143,2005,9999
"417",10808,"R","200605","201204","기타","#",121,2006,2012
"418",13699,"R","200806","201202","기타","고졸",44,2008,2012
"419",14215,"R","200810","201203","보험관계인","#",204,2008,2012
"420",4030,"P","200102","999912","기타","대학졸",170,2001,9999
"421",13559,"R","200805","201203","기타","고졸",111,2008,2012
"422",14043,"R","200809","201206","영업직(판","#",145,2008,2012
"423",13954,"R","200808","201001","기타","대학졸",21,2008,2010
"424",11400,"P","200609","999912","보험관계인","#",312,2006,9999
"425",13728,"R","200806","201008","기타","고졸",29,2008,2010
"426",14516,"R","200901","201207","기타","고졸",143,2009,2012
"427",14479,"P","200812","999912","기타","대학졸",11,2008,9999
"428",22547,"R","199208","201501","기타","고졸",111,1992,2015
"429",15168,"R","200906","201108","보험관계인","전문대졸",170,2009,2011
"430",3304,"R","200104","201107","보험관계인","중졸",147,2001,2011
"431",14796,"R","200903","201009","기타","고졸",278,2009,2010
"432",13948,"R","200808","200912","자영업","고졸",50,2008,2009
"433",13872,"R","200807","201307","기타","전문대졸",300,2008,2013
"434",15337,"R","200908","201003","보험관계인","전문대졸",170,2009,2010
"435",13857,"P","200807","999912","기타","고졸",21,2008,9999
"436",9367,"P","200505","999912","기타","#",16,2005,9999
"437",13933,"R","200808","200912","기타","고졸",147,2008,2009
"438",14275,"R","200810","201308","기타","#",16,2008,2013
"439",9548,"P","200507","999912","자유업","#",118,2005,9999
"440",20648,"P","198011","999912","기타","#",88,1980,9999
"441",14860,"R","200904","201010","기타","고졸",32,2009,2010
"442",15023,"R","200905","201009","기타","대학졸",80,2009,2010
"443",14396,"R","200811","201604","보험관계인","고졸",279,2008,2016
"444",12820,"P","200710","999912","영업직(판","고졸",16,2007,9999
"445",15172,"R","200906","201101","기타","고졸",145,2009,2011
"446",25855,"R","199606","201310","기타","전문대졸",154,1996,2013
"447",15197,"R","200907","201003","기타","대학졸",150,2009,2010
"448",13595,"P","200805","999912","기타","#",55,2008,9999
"449",15458,"R","200909","201011","기타","고졸",45,2009,2010
"450",15153,"R","200906","201010","보험관계인","#",213,2009,2010
"451",16137,"R","201003","201503","기타","대학졸",113,2010,2015
"452",15143,"R","200906","201008","기타","고졸",45,2009,2010
"453",31377,"P","199903","999912","기타","#",154,1999,9999
"454",4086,"P","200212","999912","기타","#",19,2002,9999
"455",16099,"P","201002","999912","기타","고졸",111,2010,9999
"456",16059,"R","201002","201309","보험관계인","#",323,2010,2013
"457",15609,"R","200910","201101","기타","고졸",156,2009,2011
