"","CUST_ID","SUB_CUST_ID","FMLY_RELN_CODE"
"377",17551,19774,12
"378",15377,10455,12
"379",16258,10221,14
"380",5934,21575,17
"381",14679,8629,14
"382",5105,3547,14
"383",2996,12645,12
"384",11221,10930,12
"385",21880,20987,12
"386",18283,18405,12
"387",20987,21880,12
"388",14,17262,14
"389",3630,4603,13
"390",17021,21401,99
"391",21901,11562,99
"392",2891,11306,12
"393",12728,14986,17
"394",20539,4181,14
"395",11479,2593,12
"396",6462,20672,12
"397",22182,13143,12
"398",17262,14,13
"399",3990,1696,15
"400",19390,9790,13
"401",13961,15039,14
"402",16568,22052,12
"403",22258,16527,12
"404",10178,10140,17
"405",4471,17717,12
"406",10293,16781,13
"407",17724,2051,14
"408",5782,20676,13
"409",1933,21916,17
"410",5949,8058,15
"411",8499,18368,13
"412",12539,13441,13
"413",17196,19495,12
"414",20685,5685,14
"415",14405,14300,12
"416",12735,9454,13
"417",16363,14690,14
"418",6085,8279,12
"419",8636,1906,14
"420",10491,19546,17
"421",9098,22161,14
"422",6191,1733,14
"423",810,14786,14
"424",21168,14558,12
"425",19941,13263,14
"426",21615,15176,15
